医師コード,氏名,KOL,論文執筆数,年齢,性別,専門医かどうか,施設タイプ,該当施設におけるA社全製品の売上: 直近1年間,MR訪問回数: 直近3ヶ月,MR電話回数: 直近3ヶ月,MRビデオ会議回数: 直近3ヶ月,webセミナー channelA 参加回数: 直近3ヶ月,webセミナー channelB 参加回数: 直近3ヶ月,webセミナー channelC 参加回数: 直近3ヶ月,製品説明会への参加,eDTL channelA アクセス数: 直近3ヶ月,eDTL channelB アクセス数: 直近3ヶ月,eDTL channelC アクセス数: 直近3ヶ月,eDTL channelC 開封数: 直近3ヶ月,自社医療関係者向けサイト 資料ダウンロード: 直近3ヶ月,自社医療関係者向けサイト メルマガクリック数: 直近3ヶ月,営業エリアでの過去の導入施設数: 直近1ヶ月,処方したかどうか
3060,高橋 翔,0.0,0.0,30,男,専門医,GP&HP,1700,7.0,16.0,11.0,0.0,0.0,2.0,0.0,0,0,2,9.0,no,4,0,0
3061,中村 翔,,0.0,51,男,専門医ではない,GP,1800,3.0,5.0,8.0,0.0,1.0,0.0,0.0,1,2,0,6.0,no,3,3,0
3062,小林 彩,0.0,1.0,36,男,専門医ではない,GP&HP,2700,7.0,7.0,6.0,0.0,1.0,1.0,0.0,0,0,0,2.0,no,2,1,0
3063,佐藤 健太,1.0,2.0,46,女,専門医ではない,HP,2600,3.0,8.0,6.0,0.0,0.0,0.0,0.0,1,0,1,4.0,no,3,1,0
3064,中村 結衣,0.0,0.0,46,男,専門医ではない,HP,1300,4.0,7.0,3.0,2.0,1.0,1.0,0.0,0,0,0,1.0,yes,5,1,1
3065,田中 結衣,0.0,0.0,75,男,専門医,GP&HP,1600,7.0,4.0,23.0,1.0,1.0,1.0,0.0,2,1,1,9.0,no,3,3,1
3066,加藤 健太,0.0,2.0,69,男,専門医ではない,HP,1300,2.0,3.0,11.0,1.0,1.0,0.0,1.0,1,1,0,9.0,no,0,1,0
3067,佐藤 美咲,0.0,0.0,56,男,専門医ではない,GP&HP,1200,6.0,7.0,12.0,1.0,0.0,0.0,1.0,1,1,1,1.0,no,3,1,0
3068,高橋 優子,1.0,1.0,62,男,専門医ではない,GP&HP,2100,4.0,11.0,21.0,1.0,0.0,1.0,1.0,1,1,1,4.0,yes,3,6,1
3069,渡辺 大輔,0.0,0.0,56,男,専門医ではない,GP&HP,1300,2.0,4.0,18.0,1.0,0.0,0.0,0.0,3,2,0,2.0,yes,3,1,0
3070,中村 優子,0.0,0.0,47,男,専門医ではない,HP,2300,3.0,0.0,8.0,0.0,1.0,0.0,1.0,1,0,1,7.0,no,4,7,0
3071,田中 一郎,0.0,1.0,50,男,専門医ではない,HP,1800,1.0,19.0,8.0,1.0,1.0,1.0,0.0,0,1,2,1.0,no,2,1,0
3072,鈴木 一郎,0.0,1.0,71,男,専門医ではない,HP,1400,0.0,4.0,10.0,1.0,0.0,0.0,0.0,0,1,2,4.0,yes,1,2,0
3073,高橋 結衣,0.0,1.0,50,男,専門医ではない,GP&HP,1100,5.0,8.0,11.0,2.0,1.0,2.0,0.0,0,1,0,4.0,no,4,2,0
3074,高橋 優子,0.0,1.0,44,男,専門医,HP,1200,6.0,22.0,33.0,1.0,1.0,1.0,0.0,0,1,0,7.0,no,4,4,1
3075,小林 翔,0.0,0.0,32,男,専門医ではない,GP,1100,0.0,9.0,10.0,1.0,0.0,1.0,0.0,1,1,3,3.0,no,4,2,0
3076,加藤 花子,0.0,0.0,73,男,専門医ではない,GP&HP,1400,6.0,4.0,14.0,1.0,1.0,0.0,0.0,0,2,0,1.0,no,2,2,0
3077,小林 一郎,0.0,0.0,68,男,専門医ではない,GP,2100,11.0,7.0,15.0,1.0,1.0,1.0,0.0,0,0,1,4.0,no,3,1,0
3078,高橋 一郎,1.0,1.0,58,女,専門医ではない,GP&HP,1300,3.0,21.0,9.0,1.0,0.0,1.0,0.0,10,2,0,4.0,no,5,3,0
3079,鈴木 大輔,0.0,1.0,71,男,専門医ではない,GP,1200,9.0,5.0,25.0,0.0,0.0,0.0,0.0,0,2,2,4.0,no,4,1,0
3080,中村 美咲,0.0,0.0,55,男,専門医ではない,GP&HP,1900,4.0,15.0,6.0,1.0,1.0,1.0,0.0,1,1,0,7.0,no,4,1,0
3081,佐藤 美咲,0.0,0.0,57,男,専門医ではない,HP,1200,6.0,4.0,10.0,2.0,0.0,0.0,0.0,1,10,3,2.0,yes,2,5,1
3082,山本 翔,1.0,1.0,72,男,専門医ではない,GP&HP,1800,3.0,11.0,2.0,1.0,0.0,1.0,0.0,0,1,2,2.0,no,1,2,0
3083,田中 彩,0.0,0.0,69,男,専門医,GP&HP,1900,3.0,4.0,12.0,0.0,1.0,1.0,0.0,1,0,0,7.0,no,2,2,0
3084,伊藤 結衣,0.0,2.0,74,男,専門医ではない,GP&HP,1300,2.0,8.0,24.0,0.0,1.0,0.0,0.0,1,1,3,8.0,yes,2,1,0
3085,中村 翔,0.0,1.0,62,男,専門医ではない,HP,1600,10.0,13.0,19.0,1.0,1.0,0.0,0.0,1,0,1,4.0,no,0,6,0
3086,小林 健太,0.0,0.0,30,男,専門医,GP,1600,2.0,6.0,14.0,0.0,0.0,0.0,0.0,0,0,0,5.0,no,3,2,0
3087,伊藤 結衣,0.0,1.0,75,男,専門医ではない,GP&HP,1400,5.0,7.0,20.0,1.0,1.0,1.0,0.0,0,0,0,6.0,no,3,3,0
3088,加藤 太郎,0.0,2.0,59,女,専門医ではない,GP,1100,3.0,2.0,4.0,1.0,1.0,1.0,0.0,0,0,1,2.0,no,2,2,0
3089,山本 翔,0.0,1.0,43,男,専門医,HP,1600,7.0,18.0,7.0,0.0,0.0,0.0,0.0,3,1,0,9.0,no,2,2,0
3090,佐藤 花子,0.0,1.0,33,男,専門医,GP,1600,8.0,6.0,9.0,0.0,0.0,1.0,0.0,1,1,0,2.0,no,1,2,0
3091,山本 花子,0.0,0.0,64,男,専門医ではない,GP,1400,12.0,11.0,23.0,1.0,0.0,0.0,0.0,2,2,0,5.0,no,4,3,0
3092,鈴木 一郎,0.0,1.0,40,女,専門医ではない,GP,2500,,5.0,9.0,1.0,0.0,1.0,0.0,1,0,0,2.0,no,2,4,0
3093,田中 大輔,0.0,1.0,58,男,専門医ではない,GP,2000,3.0,2.0,6.0,1.0,1.0,1.0,0.0,4,2,1,10.0,no,3,4,0
3094,伊藤 結衣,0.0,0.0,31,男,専門医ではない,GP&HP,1400,3.0,1.0,9.0,1.0,1.0,1.0,0.0,1,1,0,7.0,no,3,1,0
3095,鈴木 一郎,,1.0,41,男,専門医ではない,GP,1400,5.0,10.0,8.0,1.0,0.0,1.0,0.0,1,1,0,8.0,yes,2,2,0
3096,佐藤 大輔,0.0,1.0,77,女,専門医,HP,1400,6.0,16.0,12.0,1.0,0.0,1.0,0.0,0,1,0,10.0,no,2,1,1
3097,田中 太郎,0.0,2.0,46,男,専門医,GP&HP,1700,3.0,2.0,2.0,2.0,1.0,1.0,0.0,2,1,0,4.0,no,1,3,0
3098,鈴木 大輔,0.0,2.0,32,男,専門医,GP&HP,3900,13.0,3.0,13.0,0.0,1.0,0.0,1.0,0,0,1,3.0,no,2,2,0
3099,渡辺 太郎,0.0,1.0,65,男,専門医ではない,HP,1000,5.0,2.0,14.0,0.0,1.0,1.0,0.0,1,1,0,10.0,yes,3,2,1
3100,伊藤 翔,1.0,1.0,68,男,専門医,GP,1100,7.0,14.0,18.0,1.0,2.0,1.0,0.0,1,1,0,8.0,yes,4,3,1
3101,小林 優子,0.0,1.0,65,男,専門医ではない,GP&HP,1500,8.0,5.0,11.0,0.0,1.0,0.0,0.0,7,3,0,5.0,yes,2,1,0
3102,鈴木 一郎,0.0,1.0,35,女,専門医,HP,1400,5.0,6.0,27.0,0.0,1.0,1.0,0.0,0,0,0,11.0,no,2,2,0
3103,鈴木 翔,0.0,2.0,52,男,専門医,GP&HP,1600,5.0,2.0,7.0,1.0,1.0,0.0,0.0,2,0,0,5.0,no,3,2,0
3104,高橋 太郎,0.0,1.0,40,男,専門医ではない,HP,1700,1.0,7.0,16.0,1.0,0.0,0.0,1.0,1,1,2,1.0,no,4,1,0
3105,渡辺 花子,1.0,1.0,74,男,専門医ではない,HP,1700,3.0,7.0,8.0,1.0,0.0,1.0,0.0,1,0,0,3.0,yes,3,3,1
3106,伊藤 優子,0.0,0.0,56,女,専門医,GP&HP,1600,22.0,13.0,14.0,0.0,2.0,0.0,0.0,1,1,3,6.0,no,3,4,1
3107,高橋 健太,1.0,0.0,55,男,専門医,HP,2200,7.0,5.0,13.0,0.0,0.0,0.0,0.0,1,0,1,1.0,yes,5,2,0
3108,高橋 大輔,0.0,0.0,54,女,専門医ではない,HP,1000,7.0,4.0,21.0,2.0,1.0,0.0,0.0,2,1,1,2.0,yes,2,2,0
3109,渡辺 一郎,1.0,1.0,70,男,専門医ではない,HP,1800,6.0,3.0,9.0,0.0,1.0,2.0,0.0,1,1,0,3.0,no,3,4,1
3110,田中 大輔,0.0,2.0,48,男,専門医ではない,HP,1500,0.0,13.0,3.0,1.0,0.0,0.0,0.0,2,2,1,11.0,no,2,2,0
3111,佐藤 一郎,0.0,1.0,75,女,専門医ではない,GP,1700,5.0,9.0,24.0,2.0,0.0,1.0,0.0,0,0,1,6.0,yes,1,4,1
3112,渡辺 大輔,0.0,1.0,30,男,専門医ではない,GP,1800,2.0,6.0,15.0,0.0,1.0,1.0,0.0,0,1,0,2.0,no,3,2,0
3113,山本 一郎,0.0,1.0,62,女,専門医,GP,1700,7.0,9.0,10.0,0.0,0.0,0.0,0.0,5,1,1,2.0,no,2,7,0
3114,田中 一郎,,0.0,39,男,専門医,GP,1600,7.0,7.0,4.0,1.0,1.0,1.0,0.0,2,1,2,3.0,no,1,5,0
3115,高橋 一郎,1.0,0.0,68,男,専門医ではない,GP&HP,1400,2.0,4.0,15.0,0.0,0.0,1.0,0.0,1,2,0,,no,1,1,0
3116,伊藤 一郎,1.0,0.0,53,女,専門医,GP,1300,1.0,0.0,9.0,,0.0,0.0,0.0,0,1,1,5.0,no,6,3,0
3117,小林 健太,0.0,1.0,57,男,専門医ではない,HP,2600,0.0,7.0,8.0,1.0,0.0,1.0,0.0,1,3,1,3.0,no,5,2,0
3118,田中 結衣,0.0,1.0,56,男,専門医ではない,HP,1000,7.0,2.0,11.0,0.0,1.0,0.0,0.0,0,1,0,2.0,yes,2,1,0
3119,渡辺 大輔,0.0,0.0,41,男,専門医ではない,GP&HP,1500,8.0,3.0,12.0,0.0,1.0,0.0,0.0,1,4,9,4.0,no,6,1,1
3120,加藤 彩,0.0,0.0,46,男,専門医,GP,1200,1.0,10.0,4.0,0.0,0.0,1.0,0.0,0,0,1,3.0,no,3,2,0
3121,中村 花子,0.0,,71,男,専門医ではない,GP,2100,10.0,4.0,4.0,1.0,0.0,0.0,0.0,1,0,1,6.0,no,4,4,0
3122,加藤 翔,0.0,0.0,31,男,専門医ではない,HP,2300,3.0,5.0,18.0,0.0,0.0,0.0,0.0,0,2,1,7.0,no,2,1,0
3123,伊藤 結衣,0.0,0.0,66,男,専門医ではない,GP&HP,1900,3.0,5.0,7.0,0.0,0.0,1.0,0.0,0,0,2,3.0,yes,4,3,0
3124,田中 健太,0.0,,72,男,専門医ではない,GP,1100,1.0,5.0,24.0,0.0,1.0,0.0,0.0,5,1,0,2.0,no,1,1,1
3125,佐藤 大輔,1.0,0.0,76,男,専門医,GP&HP,1400,3.0,16.0,5.0,1.0,0.0,0.0,0.0,0,0,0,4.0,no,2,2,0
3126,中村 翔,,1.0,41,男,専門医ではない,GP,1600,4.0,8.0,12.0,0.0,0.0,0.0,0.0,1,0,0,6.0,no,4,2,0
3127,田中 優子,0.0,1.0,62,男,専門医ではない,GP,1400,10.0,4.0,31.0,3.0,0.0,0.0,1.0,3,0,0,3.0,no,8,3,1
3128,佐藤 一郎,0.0,1.0,69,男,専門医ではない,GP,1400,14.0,11.0,19.0,0.0,1.0,0.0,0.0,0,1,1,2.0,no,1,1,0
3129,鈴木 結衣,0.0,1.0,75,男,専門医ではない,HP,3000,16.0,13.0,10.0,0.0,1.0,0.0,0.0,3,0,2,4.0,no,2,5,1
3130,高橋 健太,0.0,1.0,49,男,専門医ではない,GP,1500,6.0,5.0,9.0,1.0,0.0,1.0,1.0,2,2,1,3.0,yes,5,1,0
3131,中村 翔,1.0,0.0,29,男,専門医ではない,GP&HP,1100,9.0,16.0,8.0,0.0,0.0,1.0,0.0,0,1,0,1.0,no,6,4,1
3132,加藤 彩,0.0,1.0,62,男,専門医ではない,GP,1400,3.0,4.0,10.0,0.0,0.0,0.0,0.0,2,0,1,10.0,no,1,3,0
3133,中村 優子,0.0,0.0,77,男,専門医ではない,HP,1000,3.0,13.0,17.0,1.0,1.0,0.0,0.0,1,1,0,6.0,yes,2,1,0
3134,伊藤 翔,0.0,0.0,28,男,専門医ではない,GP,2300,1.0,2.0,8.0,1.0,0.0,1.0,0.0,1,0,3,10.0,yes,3,2,0
3135,高橋 優子,0.0,0.0,36,男,専門医ではない,GP,1700,0.0,7.0,,1.0,0.0,1.0,0.0,0,0,0,2.0,no,6,5,0
3136,中村 結衣,0.0,2.0,51,男,専門医ではない,HP,1300,8.0,2.0,13.0,1.0,0.0,1.0,0.0,0,8,0,4.0,no,2,2,1
3137,佐藤 太郎,0.0,0.0,77,男,専門医ではない,GP&HP,1600,1.0,6.0,8.0,,1.0,1.0,0.0,0,1,2,4.0,no,1,2,0
3138,加藤 翔,0.0,1.0,29,女,専門医ではない,GP,1100,12.0,3.0,15.0,0.0,1.0,0.0,0.0,0,1,0,3.0,no,4,3,0
3139,鈴木 健太,0.0,1.0,56,男,専門医,HP,1500,4.0,9.0,26.0,0.0,0.0,0.0,0.0,6,1,3,2.0,no,4,3,0
3140,山本 彩,0.0,1.0,40,男,専門医ではない,GP&HP,1400,1.0,5.0,3.0,0.0,1.0,0.0,0.0,2,1,1,4.0,no,3,5,0
3141,伊藤 翔,0.0,1.0,31,男,専門医ではない,GP&HP,1600,3.0,4.0,11.0,0.0,0.0,0.0,0.0,0,1,2,3.0,no,4,4,0
3142,小林 美咲,0.0,1.0,30,男,専門医ではない,GP,1900,2.0,5.0,14.0,0.0,1.0,0.0,0.0,0,1,1,5.0,no,1,3,1
3143,渡辺 優子,0.0,1.0,47,男,専門医ではない,GP,1400,0.0,7.0,6.0,3.0,0.0,1.0,0.0,1,3,1,6.0,no,2,2,1
3144,鈴木 花子,0.0,1.0,32,男,専門医,GP&HP,1500,2.0,5.0,20.0,1.0,1.0,0.0,0.0,0,1,0,3.0,no,2,4,0
3145,鈴木 彩,0.0,0.0,58,男,専門医ではない,GP&HP,2300,3.0,26.0,16.0,1.0,1.0,0.0,0.0,0,0,2,4.0,no,4,3,0
3146,佐藤 一郎,1.0,1.0,70,男,専門医ではない,HP,1100,4.0,2.0,23.0,0.0,1.0,0.0,0.0,1,0,0,6.0,yes,1,2,0
3147,中村 美咲,0.0,1.0,65,男,専門医,GP,1500,7.0,3.0,15.0,0.0,1.0,0.0,0.0,1,5,0,9.0,yes,4,1,0
3148,佐藤 優子,0.0,0.0,33,男,専門医,GP,2800,2.0,5.0,20.0,1.0,0.0,1.0,0.0,0,2,0,2.0,no,1,1,0
3149,渡辺 健太,0.0,1.0,62,男,専門医ではない,HP,2300,1.0,9.0,15.0,1.0,1.0,2.0,0.0,0,0,3,2.0,no,4,4,1
3150,中村 太郎,0.0,1.0,68,男,専門医ではない,GP&HP,1200,1.0,4.0,11.0,1.0,0.0,1.0,0.0,0,1,1,5.0,no,2,0,0
3151,加藤 健太,0.0,1.0,54,男,専門医ではない,GP&HP,1300,3.0,9.0,4.0,4.0,0.0,0.0,0.0,0,1,1,3.0,yes,3,0,1
3152,加藤 健太,0.0,1.0,55,男,専門医ではない,GP&HP,1400,5.0,3.0,17.0,0.0,2.0,0.0,0.0,0,0,1,5.0,no,1,2,0
3153,佐藤 大輔,0.0,1.0,74,男,専門医ではない,HP,1700,36.0,22.0,15.0,1.0,1.0,0.0,0.0,0,1,1,6.0,no,3,3,0
3154,佐藤 一郎,0.0,1.0,54,女,専門医,GP,1800,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0,1,0,1.0,no,4,4,0
3155,中村 健太,0.0,1.0,68,男,専門医ではない,GP&HP,1600,11.0,4.0,18.0,0.0,0.0,1.0,0.0,1,1,1,8.0,no,1,4,0
3156,田中 花子,0.0,0.0,57,女,専門医ではない,GP,1100,15.0,5.0,12.0,1.0,0.0,0.0,0.0,0,1,0,5.0,no,2,4,0
3157,伊藤 美咲,0.0,2.0,35,男,専門医ではない,GP&HP,1000,2.0,11.0,16.0,0.0,1.0,1.0,0.0,0,3,0,4.0,yes,7,1,0
3158,山本 一郎,0.0,0.0,44,男,専門医,GP&HP,1400,4.0,11.0,17.0,1.0,0.0,1.0,1.0,1,1,1,16.0,no,3,1,0
3159,鈴木 美咲,0.0,1.0,53,男,専門医ではない,HP,1200,0.0,8.0,11.0,0.0,1.0,1.0,0.0,1,1,2,5.0,no,2,3,0
3160,鈴木 大輔,0.0,0.0,36,男,専門医ではない,GP&HP,2000,3.0,6.0,14.0,0.0,1.0,0.0,0.0,0,2,0,8.0,yes,1,3,1
3161,山本 花子,0.0,0.0,50,男,専門医ではない,GP&HP,1700,3.0,14.0,18.0,0.0,1.0,0.0,0.0,1,0,1,3.0,no,4,2,0
3162,加藤 一郎,0.0,1.0,50,男,専門医ではない,HP,1700,6.0,9.0,24.0,0.0,0.0,1.0,1.0,0,1,0,0.0,no,1,4,0
3163,小林 太郎,0.0,0.0,71,男,専門医,HP,2200,4.0,23.0,14.0,1.0,1.0,1.0,0.0,1,0,15,6.0,no,2,1,1
3164,小林 結衣,0.0,1.0,28,女,専門医ではない,HP,1800,8.0,8.0,9.0,0.0,1.0,0.0,0.0,1,1,0,4.0,yes,2,6,1
3165,山本 彩,1.0,0.0,36,男,専門医ではない,GP&HP,1300,15.0,16.0,8.0,1.0,0.0,0.0,,0,2,1,6.0,yes,4,8,0
3166,高橋 彩,0.0,0.0,72,女,専門医ではない,GP,1300,8.0,12.0,16.0,1.0,0.0,0.0,0.0,0,0,1,2.0,no,1,2,0
3167,田中 優子,0.0,0.0,77,男,専門医ではない,GP&HP,1200,0.0,2.0,19.0,0.0,0.0,1.0,1.0,0,1,0,1.0,no,5,1,0
3168,鈴木 彩,1.0,1.0,50,男,専門医ではない,GP,1300,5.0,3.0,6.0,1.0,1.0,1.0,0.0,0,0,0,2.0,no,3,3,1
3169,佐藤 美咲,,1.0,69,男,専門医ではない,GP,1200,14.0,2.0,11.0,1.0,1.0,1.0,0.0,1,3,8,4.0,no,1,6,0
3170,渡辺 結衣,0.0,0.0,31,男,専門医ではない,GP,1200,2.0,11.0,9.0,2.0,1.0,0.0,0.0,0,0,1,2.0,no,3,2,0
3171,渡辺 彩,1.0,0.0,47,男,専門医ではない,GP&HP,1900,6.0,1.0,10.0,0.0,0.0,0.0,1.0,1,1,0,9.0,no,3,2,0
3172,加藤 花子,0.0,0.0,68,男,専門医ではない,GP,2500,3.0,3.0,15.0,0.0,0.0,1.0,0.0,2,1,1,1.0,no,3,1,0
3173,山本 一郎,0.0,0.0,32,男,専門医ではない,HP,1200,0.0,2.0,18.0,1.0,1.0,0.0,1.0,1,1,3,2.0,no,2,3,0
3174,加藤 大輔,0.0,,73,女,専門医ではない,HP,1900,21.0,1.0,10.0,0.0,1.0,0.0,0.0,0,1,1,,no,2,2,0
3175,加藤 彩,0.0,1.0,67,男,専門医ではない,GP,1600,6.0,4.0,10.0,1.0,1.0,0.0,0.0,0,2,1,5.0,no,5,5,0
3176,中村 美咲,1.0,0.0,52,男,専門医,GP,1800,3.0,3.0,10.0,1.0,1.0,0.0,0.0,1,1,0,8.0,yes,2,1,0
3177,中村 健太,0.0,0.0,63,男,専門医ではない,HP,2100,2.0,24.0,4.0,0.0,1.0,0.0,0.0,0,1,0,3.0,no,4,2,0
3178,高橋 大輔,0.0,1.0,38,男,専門医ではない,GP,1600,2.0,6.0,6.0,2.0,1.0,1.0,0.0,1,0,3,7.0,no,3,4,0
3179,渡辺 結衣,1.0,0.0,66,女,専門医ではない,HP,1100,8.0,0.0,10.0,0.0,1.0,0.0,0.0,0,4,0,3.0,yes,1,2,0
3180,高橋 優子,0.0,1.0,64,男,専門医ではない,GP&HP,2200,2.0,5.0,11.0,1.0,0.0,0.0,0.0,1,2,0,4.0,no,1,6,1
3181,田中 一郎,0.0,1.0,43,男,専門医ではない,GP,1400,4.0,6.0,14.0,0.0,1.0,0.0,0.0,2,1,0,5.0,yes,3,3,1
3182,鈴木 美咲,0.0,3.0,56,男,専門医ではない,GP,1400,10.0,6.0,11.0,2.0,0.0,0.0,0.0,0,1,0,3.0,yes,1,2,0
3183,高橋 彩,0.0,1.0,74,女,専門医,HP,2000,0.0,16.0,17.0,1.0,1.0,1.0,0.0,1,2,1,1.0,yes,3,1,1
3184,田中 一郎,0.0,1.0,51,男,専門医ではない,GP&HP,2100,5.0,6.0,3.0,0.0,0.0,1.0,1.0,1,0,1,10.0,no,4,2,0
3185,中村 太郎,0.0,0.0,72,男,専門医ではない,HP,2500,6.0,7.0,11.0,,1.0,1.0,0.0,0,0,0,7.0,no,3,4,0
3186,田中 太郎,0.0,0.0,66,男,専門医ではない,GP,2400,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0,1,0,4.0,no,3,3,1
3187,佐藤 健太,0.0,1.0,42,男,専門医ではない,GP&HP,1700,15.0,9.0,12.0,1.0,2.0,2.0,0.0,1,1,2,3.0,no,3,6,1
3188,鈴木 結衣,0.0,0.0,75,男,専門医ではない,GP,1200,15.0,11.0,11.0,0.0,1.0,0.0,0.0,1,1,2,15.0,no,4,2,0
3189,渡辺 彩,0.0,0.0,77,男,専門医,HP,1200,0.0,12.0,22.0,1.0,1.0,0.0,0.0,2,0,0,5.0,no,2,1,0
3190,伊藤 太郎,0.0,0.0,39,男,専門医ではない,HP,1400,5.0,1.0,7.0,0.0,0.0,0.0,0.0,2,3,0,2.0,yes,1,3,0
3191,渡辺 結衣,0.0,1.0,32,男,専門医,GP&HP,1500,1.0,6.0,17.0,0.0,1.0,1.0,0.0,1,0,1,4.0,no,1,0,0
3192,佐藤 大輔,0.0,0.0,49,男,専門医ではない,GP,1300,3.0,5.0,8.0,0.0,1.0,2.0,0.0,2,1,1,6.0,yes,3,1,0
3193,田中 彩,0.0,0.0,46,男,専門医ではない,HP,1900,3.0,2.0,7.0,0.0,1.0,1.0,0.0,2,1,3,0.0,no,5,5,0
3194,中村 花子,0.0,,70,男,専門医ではない,HP,1900,10.0,13.0,9.0,1.0,1.0,0.0,0.0,1,1,1,3.0,no,5,2,0
3195,渡辺 太郎,0.0,1.0,42,男,専門医ではない,HP,1700,7.0,8.0,18.0,1.0,0.0,1.0,1.0,0,5,2,7.0,no,3,2,1
3196,田中 彩,0.0,0.0,39,男,専門医ではない,GP,1400,9.0,13.0,8.0,,0.0,0.0,0.0,1,2,2,1.0,no,5,2,0
3197,高橋 優子,0.0,0.0,60,女,専門医,GP&HP,2000,2.0,22.0,13.0,0.0,0.0,1.0,0.0,0,0,3,1.0,no,1,2,0
3198,中村 大輔,0.0,0.0,54,男,専門医ではない,GP&HP,1100,8.0,1.0,17.0,0.0,1.0,0.0,0.0,0,0,1,5.0,no,6,2,0
3199,中村 健太,1.0,1.0,28,男,専門医ではない,HP,1900,9.0,4.0,27.0,1.0,1.0,1.0,0.0,1,1,2,7.0,no,4,3,0
3200,伊藤 花子,0.0,1.0,49,男,専門医ではない,GP,1400,11.0,22.0,15.0,1.0,1.0,1.0,0.0,0,0,3,2.0,no,3,3,0
3201,山本 花子,0.0,1.0,74,男,専門医,GP,1100,0.0,2.0,15.0,1.0,0.0,0.0,1.0,2,1,0,2.0,yes,3,2,0
3202,加藤 優子,0.0,0.0,55,男,専門医,GP&HP,1900,8.0,4.0,14.0,1.0,1.0,,0.0,1,1,3,3.0,no,2,7,0
3203,田中 花子,0.0,1.0,33,男,専門医ではない,GP&HP,1400,5.0,21.0,12.0,,1.0,1.0,0.0,3,3,3,2.0,no,4,5,0
3204,田中 花子,0.0,0.0,76,男,専門医ではない,GP&HP,2100,0.0,6.0,3.0,1.0,0.0,1.0,0.0,5,1,2,1.0,no,3,3,0
3205,鈴木 優子,0.0,1.0,32,男,専門医,HP,1400,2.0,1.0,26.0,0.0,1.0,0.0,0.0,0,0,0,4.0,no,4,2,0
3206,中村 健太,0.0,,56,男,専門医ではない,HP,1800,8.0,12.0,13.0,0.0,0.0,1.0,0.0,3,1,1,9.0,no,3,1,0
3207,渡辺 翔,1.0,0.0,55,男,専門医ではない,GP,2000,3.0,5.0,8.0,0.0,0.0,1.0,0.0,0,2,0,6.0,no,2,5,0
3208,山本 一郎,0.0,1.0,28,女,専門医ではない,GP&HP,1500,1.0,11.0,5.0,0.0,1.0,2.0,0.0,1,1,3,2.0,yes,3,2,0
3209,渡辺 太郎,0.0,0.0,48,女,専門医,GP&HP,1400,4.0,10.0,2.0,,0.0,1.0,0.0,1,0,2,9.0,no,4,3,0
3210,佐藤 大輔,1.0,0.0,54,男,専門医ではない,GP,1400,1.0,5.0,7.0,0.0,1.0,1.0,0.0,1,0,1,4.0,yes,3,1,0
3211,小林 健太,1.0,1.0,59,男,専門医,HP,1600,5.0,1.0,18.0,1.0,0.0,0.0,0.0,2,0,1,4.0,yes,5,2,1
3212,高橋 一郎,0.0,0.0,70,男,専門医,HP,1800,1.0,8.0,12.0,0.0,0.0,0.0,0.0,0,0,2,3.0,yes,3,2,0
3213,山本 優子,0.0,1.0,44,男,専門医,GP,2300,2.0,2.0,32.0,0.0,0.0,0.0,0.0,0,1,1,1.0,no,3,5,0
3214,加藤 翔,0.0,1.0,65,男,専門医ではない,HP,1000,6.0,3.0,15.0,0.0,1.0,0.0,0.0,0,1,0,4.0,no,7,0,1
3215,山本 太郎,0.0,0.0,67,男,専門医ではない,GP,1900,1.0,8.0,8.0,0.0,0.0,0.0,0.0,2,1,0,2.0,yes,3,1,1
3216,小林 太郎,0.0,0.0,50,女,専門医ではない,GP,2400,,4.0,8.0,0.0,1.0,0.0,0.0,2,1,1,12.0,no,2,3,0
3217,小林 健太,0.0,1.0,57,男,専門医,HP,2300,0.0,3.0,7.0,0.0,0.0,0.0,0.0,2,0,1,3.0,no,6,5,0
3218,佐藤 健太,0.0,0.0,59,男,専門医ではない,GP,1700,1.0,7.0,27.0,1.0,1.0,0.0,0.0,0,3,2,4.0,no,2,3,0
3219,田中 太郎,0.0,1.0,30,男,専門医ではない,GP&HP,1100,1.0,6.0,2.0,0.0,1.0,0.0,0.0,4,0,0,11.0,no,4,5,0
3220,渡辺 太郎,0.0,,36,女,専門医,GP&HP,1700,5.0,11.0,,0.0,1.0,0.0,0.0,0,2,1,1.0,no,2,2,0
3221,佐藤 美咲,,1.0,58,男,専門医ではない,GP,1100,,0.0,19.0,0.0,0.0,0.0,0.0,1,0,1,10.0,no,7,2,0
3222,山本 彩,,0.0,28,女,専門医ではない,HP,1400,1.0,7.0,12.0,1.0,0.0,1.0,0.0,0,1,1,10.0,no,4,5,0
3223,加藤 結衣,0.0,1.0,35,女,専門医,GP,2000,9.0,8.0,10.0,1.0,0.0,0.0,0.0,2,0,0,7.0,yes,2,1,0
3224,小林 健太,0.0,0.0,64,男,専門医ではない,GP,1200,3.0,3.0,14.0,0.0,0.0,1.0,0.0,0,2,0,3.0,no,9,3,0
3225,渡辺 健太,0.0,2.0,45,男,専門医ではない,HP,2600,4.0,18.0,6.0,,1.0,0.0,,0,1,1,4.0,no,3,8,1
3226,小林 花子,0.0,0.0,73,男,専門医,GP,1600,1.0,5.0,22.0,0.0,0.0,0.0,0.0,0,1,0,9.0,,3,2,0
